"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","ausfall_grund"
157,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,722,"4",Bus - Überland/Berg,1,Keine Daten Teilstrecke
158,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,716,"2",Bus - Agglomeration,2,Keine Daten
159,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,712,"1",Bus - Überland/Berg,1,Status Unbekannt
160,BLAG, Busland AG,Busland,699,"1",Bus - Überland/Berg,20,Ausfall ganze Fahrt
161,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,685,"3",Bahn - Überland/Berg,6,Keine Daten Teilstrecke
162,WAB, Wengernalpbahn AG,Wengernalpbahn,681,"3",Bahn - Überland/Berg,1,Status Unbekannt
163,FLP, Ferrovie Luganesi SA,Bahn Lugano,672,"4",Bahn - Überland/Regionalverkehr,1,Keine Daten
164,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,662,"1",Bus - Überland/Berg,13,Keine Daten Teilstrecke
165,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,658,"1",Bus - Überland/Berg,6,Keine Daten
166,RA, REGIONALPS SA ,Regionalps,649,"4",Bahn - Überland/Regionalverkehr,3,Ausfall ganze Fahrt
167,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,628,"1",Bus - Überland/Berg,4,Keine Daten
168,VMCV, VMCV SA,Bus Montreux,611,"1",Bus - Überland/Berg,4,Ausfall ganze Fahrt
169,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,583,"2",Bus - Agglomeration,8,Keine Daten Teilstrecke
170,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,579,"2",Bus - Agglomeration,2,Status Unbekannt Teilstrecke
171,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,576,"4",Bahn - Überland/Regionalverkehr,89,Status Unbekannt
172,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,547,"3",Bahn - Überland/Berg,3,Keine Daten
173,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,541,"1",Bus - Überland/Berg,8,Keine Daten Teilstrecke
174,AVA, Aargau Verkehr AG,Bus Aargau,540,"1",Bus - Überland/Berg,9,Ausfall ganze Fahrt
175,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,529,"4",Bahn - Überland/Regionalverkehr,12,Ausfall ganze Fahrt
176,AAGR, Auto AG Rothenburg,Bus Rothenburg,507,"2",Bus - Agglomeration,4,Status Unbekannt Teilstrecke
177,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,498,"1",Bus - Überland/Berg,1,Keine Daten
178,ARAG, Rottal Auto AG,Bus Rottal,494,"1",Bus - Überland/Berg,8,Status Unbekannt Teilstrecke
179,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,489,"1",Bus - Überland/Berg,1,Status Unbekannt Teilstrecke
180,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,472,"3",Bahn - Überland/Berg,1,Keine Daten
181,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,462,"3",Bahn - Überland/Berg,7,Keine Daten
182,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,460,"1",Bus - Überland/Berg,7,Ausfall ganze Fahrt
183,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,458,"1",Bus - Überland/Berg,5,Keine Daten Teilstrecke
184,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,455,"2",Bus - Agglomeration,3,Ausfall ganze Fahrt
185,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,454,"2",Bus - Agglomeration,2,Ausfall ganze Fahrt
186,SOB, Schweizerische Südostbahn AG,Südostbahn,433,"4",Bahn - Überland/Regionalverkehr,7,Keine Daten
187,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,430,"1",Bus - Überland/Berg,4,Ausfall ganze Fahrt
188,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,426,"2",Bus - Agglomeration,11,Ausfall ganze Fahrt
189,VBSH, Stadt Schaffhausen,Bus Schaffhausen,422,"1",Bus - Überland/Berg,7,Ausfall ganze Fahrt
190,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,414,"1",Bus - Überland/Berg,3,Verspätung
191,GWB, Grindelwald Bus AG,Grindelwald Bus,412,"1",Bus - Überland/Berg,3,Keine Daten Teilstrecke
192,AAGU, AUTO AG URI,Bus Uri,411,"1",Bus - Überland/Berg,9,Status Unbekannt Teilstrecke
193,GWB, Grindelwald Bus AG,Grindelwald Bus,398,"1",Bus - Überland/Berg,3,Status Unbekannt Teilstrecke
194,AVA, Aargau Verkehr AG,Bus Aargau,393,"1",Bus - Überland/Berg,3,Status Unbekannt
195,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,384,"1",Bus - Überland/Berg,3,Keine Daten Teilstrecke
196,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,372,"3",Bahn - Überland/Berg,1,Keine Daten
197,BWS, Busbetriebe Bamert GmbH,Bus Bamert,365,"1",Bus - Überland/Berg,1,Keine Daten
198,BCS, Commune de Sion,Bus Sion,353,"1",Bus - Überland/Berg,4,Status Unbekannt Teilstrecke
199,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,339,"2",Bus - Agglomeration,1,Keine Daten Teilstrecke
200,BLAG, Busland AG,Busland,314,"1",Bus - Überland/Berg,10,Keine Daten Teilstrecke
201,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,300,"3",Bahn - Überland/Berg,2,Status Unbekannt
202,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,291,"3",Bahn - Überland/Berg,2,Status Unbekannt Teilstrecke
203,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,285,"4",Bus - Überland/Berg,2,Keine Daten
204,AAGS, Auto AG Schwyz,Bus Schwyz,281,"1",Bus - Überland/Berg,11,Ausfall ganze Fahrt
205,BOS, BUS Ostschweiz AG,BUS Ostschweiz,281,"1",Bus - Überland/Berg,20,Verspätung
206,AWA, Ortsgemeinde Amden,Bus Amden,275,"1",Bus - Überland/Berg,1,Keine Daten
207,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,274,"1",Bus - Überland/Berg,5,Keine Daten Teilstrecke
208,BLT, BLT Baselland Transport AG,Bus Baselland,273,"1",Bus - Überland/Berg,5,Keine Daten Teilstrecke
209,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,273,"1",Bus - Überland/Berg,1,Keine Daten
210,VBSG, Stadt St. Gallen,Bus St.Gallen,257,"2",Bus - Agglomeration,7,Verspätung
211,VBZ, Stadt Zürich,Bus Zürich,252,"1",Bus - Überland/Berg,9,Keine Daten Teilstrecke
212,zb, zb Zentralbahn AG,Zentralbahn,243,"3",Bahn - Überland/Berg,7,Ausfall ganze Fahrt
213,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,241,"4",Bahn - Überland/Regionalverkehr,29,Status Unbekannt Teilstrecke
214,TPC, Transports Publics du Chablais SA,Bus Chablais ,236,"1",Bus - Überland/Berg,3,Keine Daten Teilstrecke
215,PAG, PostAuto Schweiz AG,PostAuto,232,"1",Bus - Überland/Berg,114,Verspätung
216,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,232,"2",Bus - Agglomeration,13,Verspätung
