"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","anzahl_halte"
178,THURBO, Thurbo AG,Thurbo,1201,"4",Bahn - Überland/Regionalverkehr,19,"3-6 Haltestellen"
179,asm, Aare Seeland mobil AG,Bus Aare Seeland,1178,"1",Bus - Überland/Berg,12,"3-6 Haltestellen"
180,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,1177,"1",Bus - Überland/Berg,7,"7-13 Haltestellen"
181,SBW, Stadt Winterthur,Bus Winterthur,1177,"1",Bus - Überland/Berg,2,"14-21 Haltestellen"
182,PAG, PostAuto Schweiz AG,PostAuto,1166,"1",Bus - Überland/Berg,11,"40+ Haltestellen"
183,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,1140,"2",Bus - Agglomeration,2,"14-21 Haltestellen"
184,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,1136,"1",Bus - Überland/Berg,4,"3-6 Haltestellen"
185,GWB, Grindelwald Bus AG,Grindelwald Bus,1115,"1",Bus - Überland/Berg,3,"14-21 Haltestellen"
186,TSD, Theytaz Excursions SA,Theytaz,1108,"1",Bus - Überland/Berg,2,"22-39 Haltestellen"
187,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,1089,"1",Bus - Überland/Berg,4,"22-39 Haltestellen"
188,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,1062,"1",Bus - Überland/Berg,5,"14-21 Haltestellen"
189,AAGS, Auto AG Schwyz,Bus Schwyz,1061,"1",Bus - Überland/Berg,3,"40+ Haltestellen"
190,zb, zb Zentralbahn AG,Zentralbahn,1038,"3",Bahn - Überland/Berg,5,"3-6 Haltestellen"
191,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,1030,"2",Bus - Agglomeration,2,"14-21 Haltestellen"
192,AS, Autobetrieb Sernftal AG,Bus Sernftal,1012,"1",Bus - Überland/Berg,1,"14-21 Haltestellen"
193,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,1011,"1",Bus - Überland/Berg,1,"3-6 Haltestellen"
194,AAGU, AUTO AG URI,Bus Uri,1008,"1",Bus - Überland/Berg,4,"22-39 Haltestellen"
195,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,994,"4",Bahn - Überland/Regionalverkehr,19,"14-21 Haltestellen"
196,TSD, Theytaz Excursions SA,Theytaz,982,"1",Bus - Überland/Berg,2,"14-21 Haltestellen"
197,AVA, Aargau Verkehr AG,Bus Aargau,974,"1",Bus - Überland/Berg,4,"22-39 Haltestellen"
198,AAGS, Auto AG Schwyz,Bus Schwyz,961,"1",Bus - Überland/Berg,9,"3-6 Haltestellen"
199,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,934,"1",Bus - Überland/Berg,4,"3-6 Haltestellen"
200,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,908,"1",Bus - Überland/Berg,2,"1-2 Haltestellen"
201,BuS, Bus und Service AG,BuS AG,896,"1",Bus - Überland/Berg,4,"3-6 Haltestellen"
202,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,890,"2",Bus - Agglomeration,4,"22-39 Haltestellen"
203,SBW, Stadt Winterthur,Bus Winterthur,889,"1",Bus - Überland/Berg,4,"7-13 Haltestellen"
204,AAGU, AUTO AG URI,Bus Uri,881,"1",Bus - Überland/Berg,8,"7-13 Haltestellen"
205,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,874,"3",Bahn - Überland/Berg,1,"22-39 Haltestellen"
206,RA, REGIONALPS SA ,Regionalps,868,"4",Bahn - Überland/Regionalverkehr,2,"1-2 Haltestellen"
207,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,824,"1",Bus - Überland/Berg,5,"22-39 Haltestellen"
208,BLT, BLT Baselland Transport AG,Bus Baselland,809,"1",Bus - Überland/Berg,17,"1-2 Haltestellen"
209,BLAG, Busland AG,Busland,791,"1",Bus - Überland/Berg,6,"3-6 Haltestellen"
210,VBSG, Stadt St. Gallen,Bus St.Gallen,791,"2",Bus - Agglomeration,8,"3-6 Haltestellen"
211,asm, Aare Seeland mobil AG,Bus Aare Seeland,774,"1",Bus - Überland/Berg,5,"22-39 Haltestellen"
