"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","anzahl_minuten"
257,WAB, Wengernalpbahn AG,Wengernalpbahn,200,"3",Bahn - Überland/Berg,1,"15-30 Minuten"
258,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,194,"1",Bus - Überland/Berg,1,"15-30 Minuten"
259,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,186,"1",Bus - Überland/Berg,1,"60+ Minuten"
260,BCS, Commune de Sion,Bus Sion,182,"1",Bus - Überland/Berg,4,"5-15 Minuten"
261,THURBO, Thurbo AG,Thurbo,180,"4",Bahn - Überland/Regionalverkehr,3,Unter 5 Minuten
262,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,178,"2",Bus - Agglomeration,2,"5-15 Minuten"
263,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,175,"1",Bus - Überland/Berg,3,"30-60 Minuten"
264,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,173,"3",Bahn - Überland/Berg,2,"30-60 Minuten"
265,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,170,"1",Bus - Überland/Berg,3,"30-60 Minuten"
266,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,170,"1",Bus - Überland/Berg,8,unbekannt
267,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,162,"1",Bus - Überland/Berg,1,Unter 5 Minuten
268,BCS, Commune de Sion,Bus Sion,162,"1",Bus - Überland/Berg,2,"30-60 Minuten"
269,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,162,"1",Bus - Überland/Berg,1,"60+ Minuten"
270,VBSH, Stadt Schaffhausen,Bus Schaffhausen,162,"1",Bus - Überland/Berg,3,Unter 5 Minuten
271,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,159,"1",Bus - Überland/Berg,8,unbekannt
272,ABl, Autolinee Bleniesi SA,Bus Bleniesi,151,"1",Bus - Überland/Berg,4,"15-30 Minuten"
273,AWA, Ortsgemeinde Amden,Bus Amden,151,"1",Bus - Überland/Berg,1,"15-30 Minuten"
274,WAB, Wengernalpbahn AG,Wengernalpbahn,150,"3",Bahn - Überland/Berg,1,"30-60 Minuten"
275,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,143,"1",Bus - Überland/Berg,1,"5-15 Minuten"
276,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,141,"2",Bus - Agglomeration,26,unbekannt
277,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,134,"3",Bahn - Überland/Berg,2,"15-30 Minuten"
278,AAGU, AUTO AG URI,Bus Uri,120,"1",Bus - Überland/Berg,9,Unter 5 Minuten
279,VB, Verkehrsbetriebe Biel,Bus Biel,116,"1",Bus - Überland/Berg,10,unbekannt
280,AWA, Ortsgemeinde Amden,Bus Amden,115,"1",Bus - Überland/Berg,1,"30-60 Minuten"
281,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,112,"1",Bus - Überland/Berg,1,"15-30 Minuten"
282,TPC, Transports Publics du Chablais SA,Bus Chablais ,112,"1",Bus - Überland/Berg,1,Unter 5 Minuten
283,AS, Autobetrieb Sernftal AG,Bus Sernftal,108,"1",Bus - Überland/Berg,1,Unter 5 Minuten
284,ARAG, Rottal Auto AG,Bus Rottal,106,"1",Bus - Überland/Berg,6,Unter 5 Minuten
285,zb, zb Zentralbahn AG,Zentralbahn,105,"3",Bahn - Überland/Berg,3,"15-30 Minuten"
286,SOB, Schweizerische Südostbahn AG,Südostbahn,100,"4",Bahn - Überland/Regionalverkehr,7,"5-15 Minuten"
287,BOS, BUS Ostschweiz AG,BUS Ostschweiz,99,"1",Bus - Überland/Berg,1,"60+ Minuten"
288,TSD, Theytaz Excursions SA,Theytaz,96,"1",Bus - Überland/Berg,1,"15-30 Minuten"
289,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,93,"3",Bahn - Überland/Berg,2,"15-30 Minuten"
290,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,88,"2",Bus - Agglomeration,5,Unter 5 Minuten
291,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,80,"3",Bahn - Überland/Berg,4,Unter 5 Minuten
292,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,80,"1",Bus - Überland/Berg,4,"5-15 Minuten"
293,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,80,"1",Bus - Überland/Berg,3,Unter 5 Minuten
294,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,78,"2",Bus - Agglomeration,5,unbekannt
295,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,77,"2",Bus - Agglomeration,19,unbekannt
296,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,76,"2",Bus - Agglomeration,4,Unter 5 Minuten
297,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,76,"1",Bus - Überland/Berg,4,"5-15 Minuten"
298,VBSH, Stadt Schaffhausen,Bus Schaffhausen,76,"1",Bus - Überland/Berg,6,unbekannt
299,RA, REGIONALPS SA ,Regionalps,74,"4",Bahn - Überland/Regionalverkehr,2,Unter 5 Minuten
300,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,70,"1",Bus - Überland/Berg,20,unbekannt
301,zb, zb Zentralbahn AG,Zentralbahn,67,"3",Bahn - Überland/Berg,1,"60+ Minuten"
302,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,65,"4",Bahn - Überland/Regionalverkehr,9,"15-30 Minuten"
303,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,64,"1",Bus - Überland/Berg,15,unbekannt
304,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,61,"1",Bus - Überland/Berg,5,unbekannt
305,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,58,"3",Bahn - Überland/Berg,2,unbekannt
306,ABG, Alsa Bustours Gex S.A.S,Bustour Genf,57,"1",Bus - Überland/Berg,2,unbekannt
307,VBD, Landschaft Davos,Bus Davos,56,"1",Bus - Überland/Berg,2,unbekannt
308,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,55,"1",Bus - Überland/Berg,4,Unter 5 Minuten
309,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,52,"3",Bahn - Überland/Berg,3,unbekannt
310,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,49,"1",Bus - Überland/Berg,1,unbekannt
311,TPG, Transports publics genevois (TPG),Bus Genf,48,"2",Bus - Agglomeration,6,unbekannt
312,AAGR, Auto AG Rothenburg,Bus Rothenburg,40,"2",Bus - Agglomeration,3,unbekannt
313,VBZ, Stadt Zürich,Bus Zürich,36,"1",Bus - Überland/Berg,11,unbekannt
314,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,33,"1",Bus - Überland/Berg,2,unbekannt
315,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,32,"1",Bus - Überland/Berg,2,"60+ Minuten"
316,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,32,"3",Bahn - Überland/Berg,1,Unter 5 Minuten
